{'loss': 0.44592249393463135, 'total-trian_loss': 0.44592249393463135, 'total-train-accuracy': 0.875, 'bla-recall': 0.8181818127632141, 'lyt-recall': 1.0, 'ngb-recall': 0.5, 'ngs-recall': 0.875, 'bla-precision': 1.0, 'lyt-precision': 0.8999999761581421, 'ngb-precision': 0.6666666865348816, 'ngs-precision': 0.7777777910232544} 
{'loss': 0.3455648124217987, 'total-trian_loss': 0.3455648124217987, 'total-train-accuracy': 0.8541666865348816, 'bla-recall': 0.8064516186714172, 'lyt-recall': 0.9482758641242981, 'ngb-recall': 0.5833333134651184, 'ngs-recall': 0.8354430198669434, 'bla-precision': 0.9259259104728699, 'lyt-precision': 0.9322034120559692, 'ngb-precision': 0.5833333134651184, 'ngs-precision': 0.9166666865348816} 
{'loss': 0.30928629636764526, 'total-trian_loss': 0.30928629636764526, 'total-train-accuracy': 0.875, 'bla-recall': 0.8181818127632141, 'lyt-recall': 0.9495798349380493, 'ngb-recall': 0.6382978558540344, 'ngs-recall': 0.8591549396514893, 'bla-precision': 0.8999999761581421, 'lyt-precision': 0.9416666626930237, 'ngb-precision': 0.6666666865348816, 'ngs-precision': 0.9172932505607605} 
{'loss': 0.31207889318466187, 'total-trian_loss': 0.31207889318466187, 'total-train-accuracy': 0.869140625, 'bla-recall': 0.7846153974533081, 'lyt-recall': 0.9534883499145508, 'ngb-recall': 0.611940324306488, 'ngs-recall': 0.870192289352417, 'bla-precision': 0.9107142686843872, 'lyt-precision': 0.9213483333587646, 'ngb-precision': 0.6612903475761414, 'ngs-precision': 0.9049999713897705} 
{'loss': 0.3128868341445923, 'total-trian_loss': 0.3128868341445923, 'total-train-accuracy': 0.8764880895614624, 'bla-recall': 0.8064516186714172, 'lyt-recall': 0.9429824352264404, 'ngb-recall': 0.604651153087616, 'ngs-recall': 0.8905660510063171, 'bla-precision': 0.9036144614219666, 'lyt-precision': 0.9267241358757019, 'ngb-precision': 0.6933333277702332, 'ngs-precision': 0.9007633328437805} 
{'loss': 0.32535237073898315, 'total-trian_loss': 0.32535237073898315, 'total-train-accuracy': 0.8737980723381042, 'bla-recall': 0.805084764957428, 'lyt-recall': 0.9321428537368774, 'ngb-recall': 0.6190476417541504, 'ngs-recall': 0.890577495098114, 'bla-precision': 0.8878504633903503, 'lyt-precision': 0.9222614765167236, 'ngb-precision': 0.6770833134651184, 'ngs-precision': 0.9071207642555237} 
{'loss': 0.33485156297683716, 'total-trian_loss': 0.33485156297683716, 'total-train-accuracy': 0.8709677457809448, 'bla-recall': 0.7841726541519165, 'lyt-recall': 0.9277108311653137, 'ngb-recall': 0.6456692814826965, 'ngs-recall': 0.8807106614112854, 'bla-precision': 0.8861788511276245, 'lyt-precision': 0.9166666865348816, 'ngb-precision': 0.6890756487846375, 'ngs-precision': 0.9107611775398254} 
{'loss': 0.32103651762008667, 'total-trian_loss': 0.32103651762008667, 'total-train-accuracy': 0.8784722089767456, 'bla-recall': 0.7975460290908813, 'lyt-recall': 0.9312977194786072, 'ngb-recall': 0.6713286638259888, 'ngs-recall': 0.887417197227478, 'bla-precision': 0.9027777910232544, 'lyt-precision': 0.9265822768211365, 'ngb-precision': 0.695652186870575, 'ngs-precision': 0.9178082346916199} 
{'loss': 0.31983447074890137, 'total-trian_loss': 0.31983447074890137, 'total-train-accuracy': 0.8795731663703918, 'bla-recall': 0.7978723645210266, 'lyt-recall': 0.9304932951927185, 'ngb-recall': 0.6646706461906433, 'ngs-recall': 0.8923678994178772, 'bla-precision': 0.9090909361839294, 'lyt-precision': 0.9284116625785828, 'ngb-precision': 0.7070063948631287, 'ngs-precision': 0.9120000004768372} 
{'loss': 0.31993192434310913, 'total-trian_loss': 0.31993192434310913, 'total-train-accuracy': 0.879755437374115, 'bla-recall': 0.7981220483779907, 'lyt-recall': 0.9291338324546814, 'ngb-recall': 0.6388888955116272, 'ngs-recall': 0.900175154209137, 'bla-precision': 0.9042553305625916, 'lyt-precision': 0.9236790537834167, 'ngb-precision': 0.7055214643478394, 'ngs-precision': 0.912966251373291} 
{'loss': 0.3268917202949524, 'total-trian_loss': 0.3268917202949524, 'total-train-accuracy': 0.8811274766921997, 'bla-recall': 0.7991452813148499, 'lyt-recall': 0.9323843121528625, 'ngb-recall': 0.6275510191917419, 'ngs-recall': 0.903124988079071, 'bla-precision': 0.9121951460838318, 'lyt-precision': 0.9241622686386108, 'ngb-precision': 0.6988636255264282, 'ngs-precision': 0.9116719365119934} 
{'loss': 0.32807543873786926, 'total-trian_loss': 0.32807543873786926, 'total-train-accuracy': 0.8777901530265808, 'bla-recall': 0.80694979429245, 'lyt-recall': 0.9345335364341736, 'ngb-recall': 0.6129032373428345, 'ngs-recall': 0.8964539170265198, 'bla-precision': 0.9166666865348816, 'lyt-precision': 0.9239482283592224, 'ngb-precision': 0.6820513010025024, 'ngs-precision': 0.9041487574577332} 
{'loss': 0.32215169072151184, 'total-trian_loss': 0.32215169072151184, 'total-train-accuracy': 0.881147563457489, 'bla-recall': 0.8162544369697571, 'lyt-recall': 0.9327354431152344, 'ngb-recall': 0.6286919713020325, 'ngs-recall': 0.8964613080024719, 'bla-precision': 0.9094488024711609, 'lyt-precision': 0.9285714030265808, 'ngb-precision': 0.6930232644081116, 'ngs-precision': 0.9095744490623474} 
{'loss': 0.3292747139930725, 'total-trian_loss': 0.3292747139930725, 'total-train-accuracy': 0.8783143758773804, 'bla-recall': 0.8246753215789795, 'lyt-recall': 0.9344490766525269, 'ngb-recall': 0.607692301273346, 'ngs-recall': 0.8911728858947754, 'bla-precision': 0.9136690497398376, 'lyt-precision': 0.9266943335533142, 'ngb-precision': 0.6781116127967834, 'ngs-precision': 0.9054054021835327} 
{'loss': 0.32984060049057007, 'total-trian_loss': 0.32984060049057007, 'total-train-accuracy': 0.877200722694397, 'bla-recall': 0.819242000579834, 'lyt-recall': 0.9353169202804565, 'ngb-recall': 0.6137183904647827, 'ngs-recall': 0.8896473050117493, 'bla-precision': 0.9213114976882935, 'lyt-precision': 0.9233716726303101, 'ngb-precision': 0.6772908568382263, 'ngs-precision': 0.9050925970077515} 
{'loss': 0.32891058921813965, 'total-trian_loss': 0.32891058921813965, 'total-train-accuracy': 0.8754112124443054, 'bla-recall': 0.8174387216567993, 'lyt-recall': 0.9352078437805176, 'ngb-recall': 0.6187291145324707, 'ngs-recall': 0.8871307969093323, 'bla-precision': 0.9174311757087708, 'lyt-precision': 0.9216867685317993, 'ngb-precision': 0.6727272868156433, 'ngs-precision': 0.905274510383606} 
{'loss': 0.3277091383934021, 'total-trian_loss': 0.3277091383934021, 'total-train-accuracy': 0.8761574029922485, 'bla-recall': 0.8200514316558838, 'lyt-recall': 0.9368541836738586, 'ngb-recall': 0.6190476417541504, 'ngs-recall': 0.886922299861908, 'bla-precision': 0.9166666865348816, 'lyt-precision': 0.9220339059829712, 'ngb-precision': 0.6655290126800537, 'ngs-precision': 0.9074446558952332} 
{'loss': 0.32599589228630066, 'total-trian_loss': 0.32599589228630066, 'total-train-accuracy': 0.8775436282157898, 'bla-recall': 0.8264058828353882, 'lyt-recall': 0.9334049224853516, 'ngb-recall': 0.6228070259094238, 'ngs-recall': 0.8887850642204285, 'bla-precision': 0.9086021780967712, 'lyt-precision': 0.9254525899887085, 'ngb-precision': 0.6805111765861511, 'ngs-precision': 0.9065777063369751} 
{'loss': 0.3265690803527832, 'total-trian_loss': 0.3265690803527832, 'total-train-accuracy': 0.8780906796455383, 'bla-recall': 0.8287037014961243, 'lyt-recall': 0.9333333373069763, 'ngb-recall': 0.616847813129425, 'ngs-recall': 0.8903743028640747, 'bla-precision': 0.9132652878761292, 'lyt-precision': 0.9267803430557251, 'ngb-precision': 0.6837349534034729, 'ngs-precision': 0.904891312122345} 
{'loss': 0.32538020610809326, 'total-trian_loss': 0.32538020610809326, 'total-train-accuracy': 0.8779296875, 'bla-recall': 0.8314855694770813, 'lyt-recall': 0.9348658919334412, 'ngb-recall': 0.626288652420044, 'ngs-recall': 0.8856181502342224, 'bla-precision': 0.9146341681480408, 'lyt-precision': 0.9295238256454468, 'ngb-precision': 0.675000011920929, 'ngs-precision': 0.9061962366104126} 
{'loss': 0.324457049369812, 'total-trian_loss': 0.324457049369812, 'total-train-accuracy': 0.8777846693992615, 'bla-recall': 0.8284518718719482, 'lyt-recall': 0.936189591884613, 'ngb-recall': 0.6412776708602905, 'ngs-recall': 0.881600022315979, 'bla-precision': 0.9166666865348816, 'lyt-precision': 0.9268953204154968, 'ngb-precision': 0.6709511280059814, 'ngs-precision': 0.9092409014701843} 
{'loss': 0.33034786581993103, 'total-trian_loss': 0.33034786581993103, 'total-train-accuracy': 0.8752948045730591, 'bla-recall': 0.8270377516746521, 'lyt-recall': 0.933682382106781, 'ngb-recall': 0.6425233483314514, 'ngs-recall': 0.8790874481201172, 'bla-precision': 0.9203540086746216, 'lyt-precision': 0.9248055219650269, 'ngb-precision': 0.665859580039978, 'ngs-precision': 0.9073783159255981} 
{'loss': 0.3233301043510437, 'total-trian_loss': 0.3233301043510437, 'total-train-accuracy': 0.8789414167404175, 'bla-recall': 0.8305084705352783, 'lyt-recall': 0.9359400868415833, 'ngb-recall': 0.6509009003639221, 'ngs-recall': 0.8821818232536316, 'bla-precision': 0.9225941300392151, 'lyt-precision': 0.9274526238441467, 'ngb-precision': 0.6720930337905884, 'ngs-precision': 0.9099774956703186} 
{'loss': 0.3238776922225952, 'total-trian_loss': 0.3238776922225952, 'total-train-accuracy': 0.8785021305084229, 'bla-recall': 0.8276481032371521, 'lyt-recall': 0.9370517730712891, 'ngb-recall': 0.6436285376548767, 'ngs-recall': 0.8830897808074951, 'bla-precision': 0.9238476753234863, 'lyt-precision': 0.9274448156356812, 'ngb-precision': 0.6742081642150879, 'ngs-precision': 0.9090257883071899} 
{'loss': 0.32425957918167114, 'total-trian_loss': 0.32425957918167114, 'total-train-accuracy': 0.8793904781341553, 'bla-recall': 0.8321917653083801, 'lyt-recall': 0.9382622241973877, 'ngb-recall': 0.6372950673103333, 'ngs-recall': 0.8850806355476379, 'bla-precision': 0.9257143139839172, 'lyt-precision': 0.9283559322357178, 'ngb-precision': 0.6820175647735596, 'ngs-precision': 0.9070248007774353} 
{'loss': 0.32606276869773865, 'total-trian_loss': 0.32606276869773865, 'total-train-accuracy': 0.8782241940498352, 'bla-recall': 0.8341543674468994, 'lyt-recall': 0.9365426898002625, 'ngb-recall': 0.6359999775886536, 'ngs-recall': 0.8807989954948425, 'bla-precision': 0.9202898740768433, 'lyt-precision': 0.9297610521316528, 'ngb-precision': 0.6694737076759338, 'ngs-precision': 0.9101198315620422} 
{'loss': 0.32459360361099243, 'total-trian_loss': 0.32459360361099243, 'total-train-accuracy': 0.8783397078514099, 'bla-recall': 0.8341307640075684, 'lyt-recall': 0.9354614615440369, 'ngb-recall': 0.643410861492157, 'ngs-recall': 0.878731369972229, 'bla-precision': 0.9159369468688965, 'lyt-precision': 0.930296778678894, 'ngb-precision': 0.6653306484222412, 'ngs-precision': 0.9122014045715332} 
{'loss': 0.3261463940143585, 'total-trian_loss': 0.3261463940143585, 'total-train-accuracy': 0.877068042755127, 'bla-recall': 0.8320493102073669, 'lyt-recall': 0.9351170659065247, 'ngb-recall': 0.635185182094574, 'ngs-recall': 0.8806954622268677, 'bla-precision': 0.9168081283569336, 'lyt-precision': 0.9289036393165588, 'ngb-precision': 0.668615996837616, 'ngs-precision': 0.9079110026359558} 
{'loss': 0.32821303606033325, 'total-trian_loss': 0.32821303606033325, 'total-train-accuracy': 0.876329779624939, 'bla-recall': 0.8256334066390991, 'lyt-recall': 0.9350899457931519, 'ngb-recall': 0.634103000164032, 'ngs-recall': 0.8815330862998962, 'bla-precision': 0.9172185659408569, 'lyt-precision': 0.9267516136169434, 'ngb-precision': 0.6723163723945618, 'ngs-precision': 0.9068100452423096} 
{'loss': 0.3262808918952942, 'total-trian_loss': 0.3262808918952942, 'total-train-accuracy': 0.8775684833526611, 'bla-recall': 0.8299418687820435, 'lyt-recall': 0.9364197254180908, 'ngb-recall': 0.6318492889404297, 'ngs-recall': 0.882022500038147, 'bla-precision': 0.9165329337120056, 'lyt-precision': 0.9289650917053223, 'ngb-precision': 0.674588680267334, 'ngs-precision': 0.9069901704788208} 
{'loss': 0.3257298469543457, 'total-trian_loss': 0.3257298469543457, 'total-train-accuracy': 0.877897322177887, 'bla-recall': 0.8312413096427917, 'lyt-recall': 0.9343675374984741, 'ngb-recall': 0.6413223147392273, 'ngs-recall': 0.8816794157028198, 'bla-precision': 0.9127105474472046, 'lyt-precision': 0.9282750487327576, 'ngb-precision': 0.6783216595649719, 'ngs-precision': 0.9084269404411316} 
{'loss': 0.32661738991737366, 'total-trian_loss': 0.32661738991737366, 'total-train-accuracy': 0.8776041865348816, 'bla-recall': 0.8335588574409485, 'lyt-recall': 0.9345686435699463, 'ngb-recall': 0.6367924809455872, 'ngs-recall': 0.882539689540863, 'bla-precision': 0.9098966121673584, 'lyt-precision': 0.9291882514953613, 'ngb-precision': 0.6829679608345032, 'ngs-precision': 0.9070146679878235} 
