{'loss': 0.7955159544944763, 'total-trian_loss': 0.7955159544944763, 'total-train-accuracy': 0.78125, 'bla-recall': 0.6666666865348816, 'lyt-recall': 1.0, 'ngb-recall': 0.25, 'ngs-recall': 0.800000011920929, 'bla-precision': 1.0, 'lyt-precision': 0.7272727489471436, 'ngb-precision': 1.0, 'ngs-precision': 0.6666666865348816} 
{'loss': 0.3653181791305542, 'total-trian_loss': 0.3653181791305542, 'total-train-accuracy': 0.859375, 'bla-recall': 0.8333333134651184, 'lyt-recall': 0.953125, 'ngb-recall': 0.18518517911434174, 'ngs-recall': 0.9577465057373047, 'bla-precision': 0.8928571343421936, 'lyt-precision': 0.8840579986572266, 'ngb-precision': 1.0, 'ngs-precision': 0.8395061492919922} 
{'loss': 0.36198869347572327, 'total-trian_loss': 0.36198869347572327, 'total-train-accuracy': 0.8579545617103577, 'bla-recall': 0.8571428656578064, 'lyt-recall': 0.9196428656578064, 'ngb-recall': 0.25531914830207825, 'ngs-recall': 0.9270073175430298, 'bla-precision': 0.8888888955116272, 'lyt-precision': 0.8879310488700867, 'ngb-precision': 0.800000011920929, 'ngs-precision': 0.8523489832878113} 
{'loss': 0.3739962577819824, 'total-trian_loss': 0.3739962577819824, 'total-train-accuracy': 0.849609375, 'bla-recall': 0.8295454382896423, 'lyt-recall': 0.9090909361839294, 'ngb-recall': 0.3333333432674408, 'ngs-recall': 0.9191918969154358, 'bla-precision': 0.9012345671653748, 'lyt-precision': 0.8917197585105896, 'ngb-precision': 0.800000011920929, 'ngs-precision': 0.8425925970077515} 
{'loss': 0.3740238845348358, 'total-trian_loss': 0.3740238845348358, 'total-train-accuracy': 0.855654776096344, 'bla-recall': 0.8035714030265808, 'lyt-recall': 0.906862735748291, 'ngb-recall': 0.3720930218696594, 'ngs-recall': 0.9259259104728699, 'bla-precision': 0.8910890817642212, 'lyt-precision': 0.8851674795150757, 'ngb-precision': 0.7804877758026123, 'ngs-precision': 0.8650519251823425} 
{'loss': 0.38551363348960876, 'total-trian_loss': 0.38551363348960876, 'total-train-accuracy': 0.8509615659713745, 'bla-recall': 0.8092105388641357, 'lyt-recall': 0.890625, 'ngb-recall': 0.4038461446762085, 'ngs-recall': 0.9281250238418579, 'bla-precision': 0.8913043737411499, 'lyt-precision': 0.8837209343910217, 'ngb-precision': 0.7368420958518982, 'ngs-precision': 0.8633720874786377} 
{'loss': 0.3893905282020569, 'total-trian_loss': 0.3893905282020569, 'total-train-accuracy': 0.850806474685669, 'bla-recall': 0.8100558519363403, 'lyt-recall': 0.890282154083252, 'ngb-recall': 0.42399999499320984, 'ngs-recall': 0.9268292784690857, 'bla-precision': 0.8787878751754761, 'lyt-precision': 0.890282154083252, 'ngb-precision': 0.7361111044883728, 'ngs-precision': 0.8658227920532227} 
{'loss': 0.4012760818004608, 'total-trian_loss': 0.4012760818004608, 'total-train-accuracy': 0.8498263955116272, 'bla-recall': 0.801980197429657, 'lyt-recall': 0.9002695679664612, 'ngb-recall': 0.4466666579246521, 'ngs-recall': 0.9184148907661438, 'bla-precision': 0.8756756782531738, 'lyt-precision': 0.8766404390335083, 'ngb-precision': 0.7701149582862854, 'ngs-precision': 0.8678414225578308} 
{'loss': 0.3949125409126282, 'total-trian_loss': 0.3949125409126282, 'total-train-accuracy': 0.8544207215309143, 'bla-recall': 0.804444432258606, 'lyt-recall': 0.9082125425338745, 'ngb-recall': 0.45562130212783813, 'ngs-recall': 0.9166666865348816, 'bla-precision': 0.8829268217086792, 'lyt-precision': 0.8805620670318604, 'ngb-precision': 0.7699999809265137, 'ngs-precision': 0.8716981410980225} 
{'loss': 0.3913518190383911, 'total-trian_loss': 0.3913518190383911, 'total-train-accuracy': 0.8525815010070801, 'bla-recall': 0.8024193644523621, 'lyt-recall': 0.901260495185852, 'ngb-recall': 0.44324323534965515, 'ngs-recall': 0.9200710654258728, 'bla-precision': 0.8883928656578064, 'lyt-precision': 0.8900414705276489, 'ngb-precision': 0.752293586730957, 'ngs-precision': 0.8691275119781494} 
{'loss': 0.38780316710472107, 'total-trian_loss': 0.38780316710472107, 'total-train-accuracy': 0.8541666865348816, 'bla-recall': 0.8045112490653992, 'lyt-recall': 0.9001848697662354, 'ngb-recall': 0.4306930601596832, 'ngs-recall': 0.9245585799217224, 'bla-precision': 0.8879668116569519, 'lyt-precision': 0.8985239863395691, 'ngb-precision': 0.75, 'ngs-precision': 0.8635681867599487} 
